2025-05-16 10:58:29 | IP=10.150.170.110 | VIEW / | User visited home page
2025-05-16 11:10:42 | IP=10.150.170.110 | VIEW / | User visited home page
2025-05-16 11:11:00 | IP=10.150.170.110 | TRANSCRIBE_ERROR | Error code: 404 - {'error': {'message': 'Invalid URL (POST /v1/audio/transcriptions)', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-05-16 11:11:08 | IP=10.150.170.110 | TRANSCRIBE | mode=summary, target=, text='テスト'
2025-05-16 11:11:16 | IP=10.150.170.110 | TRANSCRIBE_ERROR | Error code: 404 - {'error': {'message': 'Invalid URL (POST /v1/audio/transcriptions)', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-05-16 11:11:28 | IP=10.150.170.110 | TRANSCRIBE_ERROR | Error code: 404 - {'error': {'message': 'Invalid URL (POST /v1/audio/transcriptions)', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-05-16 11:22:37 | IP=10.150.170.110 | VIEW / | User visited home page
2025-05-16 11:22:51 | IP=10.150.170.110 | TRANSCRIBE_ERROR | Error code: 404 - {'error': {'message': 'Invalid URL (POST /v1/audio/transcriptions)', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-05-16 11:24:07 | IP=10.150.170.110 | VIEW / | User visited home page
2025-05-16 11:28:17 | IP=10.150.170.30 | VIEW | /
2025-05-16 11:28:32 | IP=10.150.170.110 | VIEW | /
2025-05-16 11:29:06 | IP=10.150.170.110 | INPUT | 国際送金について
2025-05-16 11:29:30 | IP=10.150.170.110 | INPUT | 国際送金の支払いについて
2025-05-16 11:33:37 | IP=10.150.170.123 | VIEW | /
2025-05-16 11:33:37 | IP=10.150.170.123 | VIEW | /
2025-05-16 11:34:44 | IP=10.150.170.123 | INPUT | こんにちは
2025-05-16 11:35:35 | IP=10.150.170.110 | VIEW | /
2025-05-16 11:35:46 | IP=10.150.170.110 | INPUT | 国際送金の取扱方法について
2025-05-16 11:36:00 | IP=10.150.170.110 | INPUT | 国際報送金の取扱方法について詳細に教えてください
2025-05-16 11:37:28 | IP=10.150.170.110 | INPUT | ドルのレート
2025-05-16 11:42:04 | IP=10.150.170.110 | INPUT | 免税手数料はどれぐらいかかりますか？
